class_name,target,t_statistic,p_value_ttest,cohen_d,mean_confidence_took,mean_confidence_not_took,mean_diff,n_took,n_not_took,p_fdr_ttest,significant_fdr_ttest
PSTAT127,math.prof,0.18094945979453111,0.8847056931403421,0.15012515646733085,1.5,1.4081632653061225,0.09183673469387754,2,49,0.8847056931403421,False
CS5,math.prof,0.18094945979453111,0.8847056931403421,0.15012515646733085,1.5,1.4081632653061225,0.09183673469387754,2,49,0.8847056931403421,False
rsrch,math.prof,0.4882240887488761,0.6286786460447622,0.1445220243276833,1.4411764705882353,1.3529411764705883,0.08823529411764697,34,17,0.8847056931403421,False
PSTAT160,math.prof,-0.15886893514864905,0.8746141269851695,-0.04669780892349736,1.4,1.4285714285714286,-0.028571428571428692,30,21,0.8847056931403421,False
PSTAT115,math.prof,-0.15693057085734757,0.8788829304229939,-0.0712737835933703,1.375,1.4186046511627908,-0.043604651162790775,8,43,0.8847056931403421,False
PSTAT122,math.prof,-0.29242210729714835,0.7731490580822374,-0.08918825850158467,1.4,1.4545454545454546,-0.054545454545454675,40,11,0.8847056931403421,False
PSTAT174,math.prof,-0.7924415054286709,0.4344194088893619,-0.23783590524648737,1.3125,1.457142857142857,-0.14464285714285707,16,35,0.706746634333999,False
PSTAT126,math.prof,-0.8317947759445171,0.4275925930300466,-0.3041098469378096,1.3863636363636365,1.5714285714285714,-0.18506493506493493,44,7,0.706746634333999,False
CS16,math.prof,-1.224041601238055,0.22812464188967138,-0.35567685347290373,1.2857142857142858,1.5,-0.2142857142857142,21,30,0.5703116047241784,False
CS9,math.prof,-1.575830349316958,0.12733816215005672,-0.45560049658719576,1.3421052631578947,1.6153846153846154,-0.27327935222672073,38,13,0.3638233204287335,False
LING104,math.prof,-4.898979485566357,1.136243645647546e-05,-0.7071067811865477,1.0,1.4285714285714286,-0.4285714285714286,2,49,5.68121822823773e-05,True
LING110,math.prof,-4.898979485566357,1.136243645647546e-05,-0.7071067811865477,1.0,1.4285714285714286,-0.4285714285714286,2,49,5.68121822823773e-05,True
LING111,math.prof,-4.898979485566357,1.136243645647546e-05,-0.7071067811865477,1.0,1.4285714285714286,-0.4285714285714286,2,49,5.68121822823773e-05,True
ECON145,math.prof,-4.898979485566357,1.136243645647546e-05,-0.7071067811865477,1.0,1.4285714285714286,-0.4285714285714286,2,49,5.68121822823773e-05,True
LING104,prog.comf,1.2974077740906738,0.4040734924824371,0.8903274267533651,4.5,3.836734693877551,0.6632653061224492,2,49,0.5963201325204602,False
LING110,prog.comf,1.2974077740906738,0.4040734924824371,0.8903274267533651,4.5,3.836734693877551,0.6632653061224492,2,49,0.5963201325204602,False
LING111,prog.comf,1.2974077740906738,0.4040734924824371,0.8903274267533651,4.5,3.836734693877551,0.6632653061224492,2,49,0.5963201325204602,False
PSTAT127,prog.comf,1.2974077740906738,0.4040734924824371,0.8903274267533651,4.5,3.836734693877551,0.6632653061224492,2,49,0.5963201325204602,False
CS130,prog.comf,2.2168981346957977,0.0702675960546912,0.810899789079595,4.4,3.8043478260869565,0.5956521739130438,5,46,0.351337980273456,False
CS16,prog.comf,2.906857433734346,0.005499862874357425,0.7927097494058399,4.190476190476191,3.6333333333333333,0.5571428571428574,21,30,0.1099972574871485,True
PSTAT134,prog.comf,2.2305302099877156,0.0554680675476378,0.7247710896057513,4.333333333333333,3.8,0.5333333333333332,6,45,0.351337980273456,False
CS165,prog.comf,1.5362330023883783,0.19455235761718498,0.5620626941317514,4.25,3.8297872340425534,0.4202127659574466,4,47,0.5618952900084728,False
PSTAT100,prog.comf,0.9716828620927176,0.33813335052591953,0.29216396739721123,4.0,3.78125,0.21875,19,32,0.5963201325204602,False
PSTAT160,prog.comf,0.8182546924988664,0.41742409276432213,0.228101473416571,3.933333333333333,3.761904761904762,0.17142857142857126,30,21,0.5963201325204602,False
PSTAT115,prog.comf,0.5595525368842016,0.5883776338412645,0.2158904557874311,4.0,3.8372093023255816,0.16279069767441845,8,43,0.7845035117883526,False
ECON145,prog.comf,1.3093073414159537,0.19666335150296546,0.18898223650461354,4.0,3.857142857142857,0.1428571428571428,2,49,0.5618952900084728,False
CS5,prog.comf,0.14207402801533167,0.9097681971035718,0.18898223650461354,4.0,3.857142857142857,0.1428571428571428,2,49,0.9097681971035718,False
PSTAT120,prog.comf,0.446436393202237,0.6767568375857445,0.1618873076998645,3.872340425531915,3.75,0.12234042553191493,47,4,0.8327516042772694,False
PSTAT131,prog.comf,0.3221448990502483,0.7490972472662603,0.09453131868733185,3.9047619047619047,3.8333333333333335,0.07142857142857117,21,30,0.8327516042772694,False
rsrch,prog.comf,0.2669724668503383,0.7911140240634058,0.07781621503131121,3.8823529411764706,3.823529411764706,0.0588235294117645,34,17,0.8327516042772694,False
PSTAT174,prog.comf,-0.30340093530918755,0.764036852196128,-0.09688738690496596,3.8125,3.8857142857142857,-0.07321428571428568,16,35,0.8327516042772694,False
CS9,prog.comf,-1.185138663806035,0.24959509785856349,-0.3855359853809072,3.789473684210526,4.076923076923077,-0.28744939271255054,38,13,0.5963201325204602,False
PSTAT126,prog.comf,-1.7495524972902332,0.09931320646325682,-0.43416164937202545,3.8181818181818183,4.142857142857143,-0.3246753246753249,44,7,0.3972528258530273,False
PSTAT122,prog.comf,-2.3148454065105772,0.026938348151919908,-0.5520327324842146,3.775,4.181818181818182,-0.40681818181818175,40,11,0.26938348151919905,False
CS130,prog.prof,2.3192971074978046,0.06606528564745852,0.9798088217311854,1.8,1.3043478260869565,0.4956521739130435,5,46,0.3303264282372926,False
PSTAT131,prog.prof,2.0073895377490225,0.05105258584755065,0.5727185594108729,1.5238095238095237,1.2333333333333334,0.29047619047619033,21,30,0.3303264282372926,False
CS16,prog.prof,1.4284821205949665,0.16026533441324484,0.40515094325659123,1.4761904761904763,1.2666666666666666,0.20952380952380967,21,30,0.6410613376529793,False
CS165,prog.prof,0.5344757638078641,0.6257312583356509,0.3034175227735255,1.5,1.3404255319148937,0.15957446808510634,4,47,0.901276709007421,False
LING104,prog.prof,0.3027678388286432,0.8111490381066789,0.2905100669938242,1.5,1.346938775510204,0.15306122448979598,2,49,0.901276709007421,False
LING110,prog.prof,0.3027678388286432,0.8111490381066789,0.2905100669938242,1.5,1.346938775510204,0.15306122448979598,2,49,0.901276709007421,False
LING111,prog.prof,0.3027678388286432,0.8111490381066789,0.2905100669938242,1.5,1.346938775510204,0.15306122448979598,2,49,0.901276709007421,False
PSTAT127,prog.prof,0.3027678388286432,0.8111490381066789,0.2905100669938242,1.5,1.346938775510204,0.15306122448979598,2,49,0.901276709007421,False
PSTAT174,prog.prof,0.788387461412993,0.4366402252618171,0.23491373207644095,1.4375,1.3142857142857143,0.12321428571428572,16,35,0.901276709007421,False
PSTAT160,prog.prof,0.7496466668713941,0.45787221569616443,0.21784771543131665,1.4,1.2857142857142858,0.1142857142857141,30,21,0.901276709007421,False
PSTAT120,prog.prof,0.42696625759179935,0.6937108367054232,0.21201815264712023,1.3617021276595744,1.25,0.11170212765957444,47,4,0.901276709007421,False
CS9,prog.prof,0.38057591224809806,0.7069705563760422,0.11522374004857075,1.368421052631579,1.3076923076923077,0.06072874493927127,38,13,0.901276709007421,False
PSTAT122,prog.prof,-0.07839595878578276,0.9384452923617272,-0.025840601007101095,1.35,1.3636363636363635,-0.013636363636363447,40,11,0.9384452923617272,False
PSTAT134,prog.prof,-0.09872918702391566,0.9243362319556446,-0.04211216774825889,1.3333333333333333,1.3555555555555556,-0.022222222222222365,6,45,0.9384452923617272,False
PSTAT126,prog.prof,-0.4039320486422982,0.6968934121005724,-0.1663915493733327,1.3409090909090908,1.4285714285714286,-0.08766233766233777,44,7,0.901276709007421,False
PSTAT115,prog.prof,-0.6675040847450381,0.5184477327318964,-0.23220691613599145,1.25,1.372093023255814,-0.12209302325581395,8,43,0.901276709007421,False
PSTAT100,prog.prof,-0.9977046255160207,0.32383698299284835,-0.2735982681996829,1.263157894736842,1.40625,-0.14309210526315796,19,32,0.901276709007421,False
rsrch,prog.prof,-1.147638083514009,0.2594605249066092,-0.3387978256778204,1.2941176470588236,1.4705882352941178,-0.17647058823529416,34,17,0.864868416355364,False
ECON145,prog.prof,-4.869016027204134,1.2575525121731352e-05,-0.7027819284987272,1.0,1.3673469387755102,-0.36734693877551017,2,49,0.00012575525121731352,True
CS5,prog.prof,-4.869016027204134,1.2575525121731352e-05,-0.7027819284987272,1.0,1.3673469387755102,-0.36734693877551017,2,49,0.00012575525121731352,True
PSTAT134,stat.comf,2.9390537269359256,0.01737815845914102,0.9204788557468709,4.666666666666667,3.9555555555555557,0.7111111111111112,6,45,0.1811965630717978,False
PSTAT160,stat.comf,2.4715018374290154,0.01811965630717978,0.7287510091783331,4.266666666666667,3.7142857142857144,0.5523809523809522,30,21,0.1811965630717978,False
CS165,stat.comf,1.6036734199168543,0.18274752594384,0.6286185570937122,4.5,4.0,0.5,4,47,0.6632786135155787,False
CS5,stat.comf,0.9348722652450612,0.5088749437850506,0.5983499732076552,4.5,4.020408163265306,0.4795918367346941,2,49,0.9740679622140485,False
PSTAT100,stat.comf,2.069343225041267,0.0443628435026976,0.567080602169326,4.315789473684211,3.875,0.4407894736842106,19,32,0.295752290017984,False
PSTAT131,stat.comf,1.886753547765249,0.06596844235216033,0.5377749324152923,4.285714285714286,3.8666666666666667,0.4190476190476189,21,30,0.32984221176080164,False
PSTAT115,stat.comf,1.373020699269793,0.1989835840546736,0.501903591929002,4.375,3.9767441860465116,0.3982558139534884,8,43,0.6632786135155787,False
PSTAT122,stat.comf,0.8847980149497692,0.3919513894409705,0.352969202496322,4.1,3.8181818181818183,0.2818181818181813,40,11,0.9740679622140485,False
PSTAT126,stat.comf,0.44696730955375447,0.6689838775416082,0.2625765895348247,4.068181818181818,3.857142857142857,0.21103896103896114,44,7,0.9740679622140485,False
PSTAT174,stat.comf,0.1426839027251983,0.8874656847403388,0.04204433647690774,4.0625,4.0285714285714285,0.03392857142857153,16,35,0.9740679622140485,False
LING104,stat.comf,-0.040559177342492585,0.9740679622140485,-0.05057217374241686,4.0,4.040816326530612,-0.040816326530611846,2,49,0.9740679622140485,False
LING110,stat.comf,-0.040559177342492585,0.9740679622140485,-0.05057217374241686,4.0,4.040816326530612,-0.040816326530611846,2,49,0.9740679622140485,False
LING111,stat.comf,-0.040559177342492585,0.9740679622140485,-0.05057217374241686,4.0,4.040816326530612,-0.040816326530611846,2,49,0.9740679622140485,False
PSTAT127,stat.comf,-0.040559177342492585,0.9740679622140485,-0.05057217374241686,4.0,4.040816326530612,-0.040816326530611846,2,49,0.9740679622140485,False
CS130,stat.comf,-0.12851767221646973,0.9025362256200717,-0.053874852239487264,4.0,4.043478260869565,-0.04347826086956541,5,46,0.9740679622140485,False
